,category,sub,phase,high_level,mid_level,fine_level
237,Esmalltooldrill,4,E,small,tool,drill
238,Esmalltoolhairbrush,4,E,small,tool,hairbrush
239,Esmalltoolwateringcan,4,E,small,tool,wateringcan
240,Rbignottoolchair,4,R,big,nottool,chair
241,Rbignottoollamppost,4,R,big,nottool,lamppost
242,Rbignottooltv,4,R,big,nottool,tv
243,Rbigtoolguitar,4,R,big,tool,guitar
244,Rbigtoolleafblower,4,R,big,tool,leafblower
245,Rbigtoolumbrella,4,R,big,tool,umbrella
246,Rclosedmanmadebathroom,4,R,closed,manmade,bathroom
247,Rclosedmanmadeconferencehall,4,R,closed,manmade,conferencehall
248,Rclosedmanmadelivingroom,4,R,closed,manmade,livingroom
249,Rclosednaturalcave,4,R,closed,natural,cave
250,Rclosednaturalforestccanopy,4,R,closed,natural,forestccanopy
251,Rclosednaturalicecave,4,R,closed,natural,icecave
252,Ropenmanmadecity,4,R,open,manmade,city
253,Ropenmanmadefarmhouse,4,R,open,manmade,farmhouse
254,Ropenmanmadesuburbs,4,R,open,manmade,suburbs
255,Ropennaturalgarden,4,R,open,natural,garden
256,Ropennaturallake,4,R,open,natural,lake
257,Ropennaturalmountains,4,R,open,natural,mountains
258,Rsmallnottoolbowl,4,R,small,nottool,bowl
259,Rsmallnottoolcupcake,4,R,small,nottool,cupcake
260,Rsmallnottoolflowers,4,R,small,nottool,flowers
261,Rsmalltooldrill,4,R,small,tool,drill
262,Rsmalltoolhairbrush,4,R,small,tool,hairbrush
263,Rsmalltoolwateringcan,4,R,small,tool,wateringcan
264,Dbignottoolchair,4,D,big,nottool,chair
265,Dbignottoollamppost,4,D,big,nottool,lamppost
266,Dbignottooltv,4,D,big,nottool,tv
267,Dbigtoolguitar,4,D,big,tool,guitar
268,Dbigtoolleafblower,4,D,big,tool,leafblower
269,Dbigtoolumbrella,4,D,big,tool,umbrella
270,Dclosedmanmadebathroom,4,D,closed,manmade,bathroom
271,Dclosedmanmadeconferencehall,4,D,closed,manmade,conferencehall
272,Dclosedmanmadelivingroom,4,D,closed,manmade,livingroom
273,Dclosednaturalcave,4,D,closed,natural,cave
274,Dclosednaturalforestccanopy,4,D,closed,natural,forestccanopy
275,Dclosednaturalicecave,4,D,closed,natural,icecave
276,Dopenmanmadecity,4,D,open,manmade,city
277,Dopenmanmadefarmhouse,4,D,open,manmade,farmhouse
278,Dopenmanmadesuburbs,4,D,open,manmade,suburbs
279,Dopennaturalgarden,4,D,open,natural,garden
280,Dopennaturallake,4,D,open,natural,lake
281,Dopennaturalmountains,4,D,open,natural,mountains
282,Dsmallnottoolbowl,4,D,small,nottool,bowl
283,Dsmallnottoolcupcake,4,D,small,nottool,cupcake
284,Dsmallnottoolflowers,4,D,small,nottool,flowers
285,Dsmalltooldrill,4,D,small,tool,drill
286,Dsmalltoolhairbrush,4,D,small,tool,hairbrush
287,Dsmalltoolwateringcan,4,D,small,tool,wateringcan
288,Ebignottoolchair,5,E,big,nottool,chair
289,Ebignottoollamppost,5,E,big,nottool,lamppost
290,Ebignottooltv,5,E,big,nottool,tv
291,Ebigtoolguitar,5,E,big,tool,guitar
292,Ebigtoolleafblower,5,E,big,tool,leafblower
293,Ebigtoolumbrella,5,E,big,tool,umbrella
294,Eclosedmanmadebathroom,5,E,closed,manmade,bathroom
295,Eclosedmanmadeconferencehall,5,E,closed,manmade,conferencehall
296,Eclosedmanmadelivingroom,5,E,closed,manmade,livingroom
297,Eclosednaturalcave,5,E,closed,natural,cave
298,Eclosednaturalforestccanopy,5,E,closed,natural,forestccanopy
299,Eclosednaturalicecave,5,E,closed,natural,icecave
300,Eopenmanmadecity,5,E,open,manmade,city
301,Eopenmanmadefarmhouse,5,E,open,manmade,farmhouse
302,Eopenmanmadesuburbs,5,E,open,manmade,suburbs
303,Eopennaturalgarden,5,E,open,natural,garden
304,Eopennaturallake,5,E,open,natural,lake
305,Eopennaturalmountains,5,E,open,natural,mountains
306,Esmallnottoolbowl,5,E,small,nottool,bowl
307,Esmallnottoolcupcake,5,E,small,nottool,cupcake
308,Esmallnottoolflowers,5,E,small,nottool,flowers
309,Esmalltooldrill,5,E,small,tool,drill
310,Esmalltoolhairbrush,5,E,small,tool,hairbrush
311,Esmalltoolwateringcan,5,E,small,tool,wateringcan
312,Rbignottoolchair,5,R,big,nottool,chair
313,Rbignottoollamppost,5,R,big,nottool,lamppost
314,Rbignottooltv,5,R,big,nottool,tv
315,Rbigtoolguitar,5,R,big,tool,guitar
316,Rbigtoolleafblower,5,R,big,tool,leafblower
317,Rbigtoolumbrella,5,R,big,tool,umbrella
318,Rclosedmanmadebathroom,5,R,closed,manmade,bathroom
319,Rclosedmanmadeconferencehall,5,R,closed,manmade,conferencehall
320,Rclosedmanmadelivingroom,5,R,closed,manmade,livingroom
321,Rclosednaturalcave,5,R,closed,natural,cave
322,Rclosednaturalforestccanopy,5,R,closed,natural,forestccanopy
323,Rclosednaturalicecave,5,R,closed,natural,icecave
324,Ropenmanmadecity,5,R,open,manmade,city
325,Ropenmanmadefarmhouse,5,R,open,manmade,farmhouse
326,Ropenmanmadesuburbs,5,R,open,manmade,suburbs
327,Ropennaturalgarden,5,R,open,natural,garden
328,Ropennaturallake,5,R,open,natural,lake
329,Ropennaturalmountains,5,R,open,natural,mountains
330,Rsmallnottoolbowl,5,R,small,nottool,bowl
331,Rsmallnottoolcupcake,5,R,small,nottool,cupcake
332,Rsmallnottoolflowers,5,R,small,nottool,flowers
333,Rsmalltooldrill,5,R,small,tool,drill
334,Rsmalltoolhairbrush,5,R,small,tool,hairbrush
335,Rsmalltoolwateringcan,5,R,small,tool,wateringcan
336,Dbignottoolchair,5,D,big,nottool,chair
337,Dbignottoollamppost,5,D,big,nottool,lamppost
338,Dbignottooltv,5,D,big,nottool,tv
339,Dbigtoolguitar,5,D,big,tool,guitar
340,Dbigtoolleafblower,5,D,big,tool,leafblower
341,Dbigtoolumbrella,5,D,big,tool,umbrella
342,Dclosedmanmadebathroom,5,D,closed,manmade,bathroom
343,Dclosedmanmadeconferencehall,5,D,closed,manmade,conferencehall
344,Dclosedmanmadelivingroom,5,D,closed,manmade,livingroom
345,Dclosednaturalcave,5,D,closed,natural,cave
346,Dclosednaturalforestccanopy,5,D,closed,natural,forestccanopy
347,Dclosednaturalicecave,5,D,closed,natural,icecave
348,Dopenmanmadecity,5,D,open,manmade,city
349,Dopenmanmadefarmhouse,5,D,open,manmade,farmhouse
350,Dopenmanmadesuburbs,5,D,open,manmade,suburbs
351,Dopennaturalgarden,5,D,open,natural,garden
352,Dopennaturallake,5,D,open,natural,lake
353,Dopennaturalmountains,5,D,open,natural,mountains
354,Dsmallnottoolbowl,5,D,small,nottool,bowl
355,Dsmallnottoolcupcake,5,D,small,nottool,cupcake
356,Dsmallnottoolflowers,5,D,small,nottool,flowers
357,Dsmalltooldrill,5,D,small,tool,drill
358,Dsmalltoolhairbrush,5,D,small,tool,hairbrush
359,Dsmalltoolwateringcan,5,D,small,tool,wateringcan
360,Ebignottoolchair,6,E,big,nottool,chair
361,Ebignottoollamppost,6,E,big,nottool,lamppost
362,Ebignottooltv,6,E,big,nottool,tv
363,Ebigtoolguitar,6,E,big,tool,guitar
364,Ebigtoolleafblower,6,E,big,tool,leafblower
365,Ebigtoolumbrella,6,E,big,tool,umbrella
366,Eclosedmanmadebathroom,6,E,closed,manmade,bathroom
367,Eclosedmanmadeconferencehall,6,E,closed,manmade,conferencehall
368,Eclosedmanmadelivingroom,6,E,closed,manmade,livingroom
369,Eclosednaturalcave,6,E,closed,natural,cave
