,roi,phase,sub,corr,shuff_corr,roi_group
242,headbody,R,1,0.021632424405447343,0.04564047330052123,hpc
243,headbody,R,2,0.07059659536821679,0.041246409155120504,hpc
244,headbody,R,3,0.02258957110824865,0.06491383998855017,hpc
245,headbody,R,4,0.01202779640701474,0.04539448352620539,hpc
246,headbody,R,5,0.0023059031691899374,0.04461733137369615,hpc
247,headbody,R,6,0.01722264954034896,0.04616378486286052,hpc
248,headbody,R,7,0.0612234414463264,0.04287421126981636,hpc
249,headbody,R,8,0.09330118006306988,0.052985117221500844,hpc
250,headbody,R,9,0.07625576119062227,0.046822025941410654,hpc
251,headbody,R,10,0.05314707267304976,0.04998123885218533,hpc
252,headbody,R,11,0.04622194318003454,0.04215634480101596,hpc
253,headbody,R,12,0.013772063754798019,0.047276996618198945,hpc
254,headbody,R,13,0.026871762674619368,0.040706097230347744,hpc
255,headbody,R,14,0.10421940326193978,0.045752086870906525,hpc
256,headbody,R,15,0.042877298440461745,0.0601754128560017,hpc
257,headbody,R,16,0.01637298233999883,0.05073508051169221,hpc
258,headbody,R,17,0.118284271057776,0.04750581755397325,hpc
259,headbody,R,18,0.08704442002825302,0.0445181832451021,hpc
260,headbody,R,19,0.08901357001184344,0.045426669139995136,hpc
261,headbody,R,20,0.03131747549264423,0.041638618170402826,hpc
262,headbody,R,21,0.05252493543185743,0.054112258672107984,hpc
263,headbody,R,22,0.015054579700632125,0.0413026811832023,hpc
264,tail,E,1,0.036474936680345786,0.05406095730128596,hpc
265,tail,E,2,0.023971689901685193,0.04776727501034516,hpc
266,tail,E,3,0.10588235294117647,0.06900415056533561,hpc
267,tail,E,4,0.0038589631997260317,0.046500232588005314,hpc
268,tail,E,5,0.015475235798575935,0.051776315977226345,hpc
269,tail,E,6,0.04131153566278523,0.04884982015587973,hpc
270,tail,E,7,0.0527521011401093,0.04440131276665573,hpc
271,tail,E,8,0.09778285127209944,0.04302452305189711,hpc
272,tail,E,9,0.01713902484268204,0.049448381158944656,hpc
273,tail,E,10,0.028800958890426796,0.04230450478731753,hpc
274,tail,E,11,0.01039597037713503,0.04742891796635322,hpc
275,tail,E,12,0.08691371413079152,0.04624403761361853,hpc
276,tail,E,13,0.04019976883891497,0.04064216549421383,hpc
277,tail,E,14,0.06073372240692913,0.04438456072259243,hpc
278,tail,E,15,0.1333106583020996,0.053397008674310964,hpc
279,tail,E,16,0.0051714402538990244,0.04859003290562512,hpc
280,tail,E,17,0.18835404745936846,0.04710480729441646,hpc
281,tail,E,18,0.04447025584680584,0.04929920520540518,hpc
282,tail,E,19,0.055704113811161374,0.04260365576975214,hpc
283,tail,E,20,0.04863457998601618,0.0481069676517173,hpc
284,tail,E,21,0.08222770793795751,0.04967699661819894,hpc
285,tail,E,22,0.020657239480030253,0.0474595682139239,hpc
286,tail,R,1,0.09709211249779548,0.04654657792281893,hpc
287,tail,R,2,0.027658281131833166,0.04856368487892581,hpc
288,tail,R,3,0.043766995849434664,0.06919979962788035,hpc
289,tail,R,4,0.039300809063797605,0.04375240079336769,hpc
290,tail,R,5,0.019519698634437296,0.0476801529658538,hpc
291,tail,R,6,0.05691803346716048,0.05167624797888406,hpc
292,tail,R,7,0.05749917952084017,0.0454963542186898,hpc
293,tail,R,8,0.08019406115780313,0.04571651089453633,hpc
294,tail,R,9,0.005324695709250724,0.043552449308657135,hpc
295,tail,R,10,0.014841683195159888,0.04704496225795865,hpc
296,tail,R,11,0.1374398196372769,0.0468923788187954,hpc
297,tail,R,12,0.048801244274482396,0.046330246429132006,hpc
298,tail,R,13,0.04694681868124028,0.04642111842011386,hpc
299,tail,R,14,0.044547309541815905,0.046397648435381925,hpc
300,tail,R,15,0.038583121773809896,0.051065719057845044,hpc
